"","inmateid","release_date_approx","order_adm_times"
"289",20160800,"2020-01-17",1
"290",20182800,"2020-09-16",1
"291",4276,"2022-10-12",1
"292",139276,"2019-12-04",1
"293",20004918,"2019-10-23",1
"294",20116842,"2019-10-16",1
"295",20199821,"2019-12-31",1
"296",20093127,"2020-11-05",1
"297",20097310,"2020-02-22",1
"298",20199838,"2020-04-28",1
"299",16828,"2020-03-15",1
"300",20199873,"2019-12-20",1
"301",88687,"2019-10-31",1
"302",16872,"2019-10-11",1
"303",20093747,"2021-04-15",1
"304",20199928,"2020-03-27",1
"305",763,"2019-10-22",1
"306",2446,"2020-04-14",1
"307",132920,"2019-12-27",1
"308",152169,"2020-06-05",1
"309",20022266,"2021-11-16",1
"310",20185171,"2019-11-07",1
"311",20075704,"2020-02-05",1
"312",20169771,"2020-05-16",1
"313",48200,"2021-05-27",1
"314",20106049,"2019-12-16",1
"315",20146133,"2020-02-14",1
"316",70657,"2019-10-31",1
"317",20176105,"2019-10-17",1
"318",20162910,"2020-01-16",1
"319",50660,"2020-10-11",1
"320",17316,"2019-11-25",1
"321",18271,"2020-03-05",1
"322",32430,"2020-02-20",1
"323",20200243,"2020-01-08",1
"324",143431,"2020-04-14",1
"325",129580,"2019-12-18",1
"326",170737,"2020-07-14",1
"327",20063200,"2019-12-31",1
"328",20067975,"2019-10-29",1
"329",20009896,"2021-06-25",1
"330",20038488,"2020-01-06",1
"331",20191047,"2019-11-22",1
"332",20200351,"2020-01-03",1
"333",20106054,"2020-02-07",1
"334",35067,"2019-11-20",1
"335",20017426,"2019-12-25",1
"336",20156274,"2020-01-23",1
"337",20194731,"2019-12-22",1
"338",20083340,"2020-02-03",1
"339",20200442,"2020-11-27",1
"340",20086128,"2020-01-01",1
"341",20114392,"2019-10-30",1
"342",20154498,"2021-03-05",1
"343",20075712,"2020-01-11",1
"344",20180554,"2019-11-05",1
"345",20196966,"2021-11-16",1
"346",71792,"2019-10-30",1
"347",20112636,"2019-12-19",1
"348",20200625,"2020-04-10",1
"349",33949,"2019-12-13",1
"350",10009655,"2020-03-02",1
"351",66907,"2019-11-04",1
"352",20194043,"2020-06-10",1
"353",20196040,"2019-10-12",1
"354",3115,"2020-02-07",1
"355",31862,"2019-12-12",1
"356",20034949,"2019-11-02",1
"357",20169377,"2019-10-23",1
"358",20103282,"2020-01-18",1
"359",20198069,"2020-03-02",1
"360",55095,"2019-11-22",1
"361",20123830,"2021-06-29",1
"362",20034395,"2020-11-07",1
"363",30465,"2019-12-30",1
"364",20006758,"2020-04-22",1
"365",20070395,"2019-11-02",1
"366",1824,"2019-12-25",1
"367",20184779,"2019-11-08",1
"368",86679,"2019-10-30",1
"369",99134,"2019-11-06",1
"370",134070,"2020-02-10",1
"371",20196580,"2020-03-24",1
"372",20198009,"2019-10-24",1
"373",27438,"2019-10-16",1
"374",20011133,"2021-04-15",1
"375",1804,"2020-01-29",1
"376",58413,"2020-01-08",1
"377",20179051,"2020-04-16",1
"378",20186021,"2020-03-15",1
"379",49006,"2019-11-22",1
"380",20169063,"2020-01-17",1
"381",12486,"2020-01-18",1
"382",20170824,"2019-12-31",1
"383",104053,"2019-12-31",1
"384",36484,"2020-01-02",1
"385",49582,"2021-11-23",1
"386",20025090,"2019-11-07",1
"387",20201009,"2021-03-09",1
"388",20192017,"2020-01-07",1
"389",20201026,"2020-01-11",1
"390",20201043,"2020-03-07",1
"391",20055155,"2021-06-12",1
"392",20092342,"2020-07-04",1
"393",20103886,"2019-11-23",1
"394",20201100,"2019-12-24",1
"395",12262,"2019-11-14",1
"396",37066,"2020-06-16",1
"397",26477,"2021-08-12",1
"398",20023136,"2020-06-12",1
"399",20175786,"2020-04-07",1
"400",12053,"2020-03-26",1
"401",121189,"2020-04-08",1
"402",154583,"2019-11-08",1
"403",20067560,"2019-11-20",1
"404",20153235,"2020-01-29",1
"405",20159211,"2019-10-18",1
"406",20195222,"2021-12-06",1
"407",20139563,"2020-02-28",1
"408",20151740,"2020-03-27",1
"409",20191722,"2020-02-13",1
"410",20194280,"2020-02-05",1
"411",20201266,"2022-08-26",1
"412",17491,"2019-10-30",1
"413",21771,"2019-12-12",1
"414",136543,"2019-11-22",1
"415",3918,"2019-12-17",1
"416",20162946,"2019-12-20",1
"417",59261,"2020-02-19",1
"418",105417,"2020-04-18",1
"419",20199300,"2019-11-05",1
"420",20201387,"2020-06-06",1
"421",10674,"2020-01-28",1
"422",71806,"2019-12-21",1
"423",111483,"2019-12-20",1
"424",20201435,"2020-05-27",1
"425",20201449,"2019-10-16",1
"426",128938,"2022-03-07",1
"427",20200004,"2019-10-12",1
"428",20200940,"2019-11-13",1
"429",20138643,"2020-01-22",1
"430",20201483,"2019-11-20",1
"431",20118404,"2020-06-30",1
"432",36390,"2019-12-19",1
"433",20155300,"2020-01-03",1
"434",20178375,"2020-11-16",1
"435",20180816,"2021-10-18",1
"436",20201576,"2020-11-26",1
"437",139624,"2019-11-25",1
"438",20201605,"2020-02-08",1
"439",20049826,"2020-03-26",1
"440",20146483,"2020-04-14",1
"441",20201661,"2020-02-06",1
"442",15045,"2019-12-31",1
"443",25467,"2020-01-10",1
"444",68270,"2019-11-15",1
"445",10002568,"2020-02-19",1
"446",20161616,"2019-10-29",1
"447",10004306,"2020-02-10",1
"448",20201211,"2020-10-01",1
"449",99806,"2021-06-10",1
"450",20179401,"2019-10-12",1
"451",170743,"2020-02-07",1
"452",20046977,"2020-08-07",1
"453",20175239,"2020-01-28",1
"454",15642,"2019-12-06",1
"455",20039765,"2019-11-05",1
"456",153446,"2019-11-11",1
"457",20156382,"2019-10-10",1
"458",20201915,"2020-04-23",1
"459",123490,"2020-09-22",1
"460",20189033,"2020-03-02",1
"461",20190622,"2020-01-30",1
"462",74853,"2019-12-03",1
"463",130675,"2020-04-07",1
"464",20095615,"2019-12-13",1
"465",20147467,"2019-11-23",1
"466",20196557,"2019-10-10",1
"467",25690,"2019-12-19",1
"468",36374,"2019-10-11",1
"469",20056490,"2019-12-26",1
"470",20090417,"2019-10-24",1
"471",20118714,"2020-11-06",1
"472",20164846,"2020-10-05",1
"473",20168184,"2021-08-02",1
"474",93932,"2020-04-02",1
"475",20067507,"2020-08-26",1
"476",20117184,"2020-03-26",1
"477",49115,"2019-10-11",1
"478",79072,"2020-09-03",1
"479",20105828,"2019-10-11",1
"480",20141379,"2020-11-23",1
"481",49598,"2019-12-12",1
"482",20049199,"2019-10-12",1
"483",20037065,"2019-10-18",1
"484",20202149,"2019-11-13",1
"485",20202150,"2021-05-20",1
"486",40276,"2019-10-11",1
"487",10000389,"2020-02-14",1
"488",20167218,"2019-10-17",1
"489",20202216,"2019-12-11",1
"490",20202219,"2019-10-24",1
"491",148430,"2020-01-09",1
"492",20013329,"2019-12-21",1
"493",20039032,"2019-10-12",1
"494",20189625,"2019-12-09",1
"495",20202224,"2020-11-20",1
"496",10562,"2020-03-03",1
"497",20054109,"2020-12-02",1
"498",20081698,"2020-07-11",1
"499",20197602,"2020-03-15",1
"500",26758,"2019-11-16",1
"501",20183988,"2021-03-30",1
"502",132921,"2019-10-18",1
"503",160486,"2020-03-26",1
"504",20193366,"2019-10-10",1
"505",20202304,"2020-01-14",1
"506",84079,"2019-10-19",1
"507",20166421,"2019-10-10",1
"508",20202333,"2021-02-23",1
"509",5283,"2019-10-22",1
"510",162948,"2021-01-15",1
"511",20004775,"2021-02-10",1
"512",12450,"2019-10-18",1
"513",54617,"2019-10-23",1
"514",74567,"2019-10-22",1
"515",20073667,"2019-12-05",1
"516",20144144,"2019-10-12",1
"517",20144238,"2020-02-26",1
"518",20187741,"2019-12-30",1
"519",20025750,"2020-10-02",1
"520",20202392,"2019-10-24",1
"521",118754,"2019-10-24",1
"522",20010247,"2020-07-15",1
"523",20202418,"2019-10-24",1
"524",20088683,"2021-05-04",1
"525",20197313,"2022-05-16",1
"526",45401,"2020-01-22",1
"527",20007514,"2019-11-20",1
"528",20194595,"2019-12-06",1
"529",20202447,"2019-12-12",1
"530",118509,"2019-10-24",1
"531",20149917,"2020-01-09",1
"532",20199397,"2019-12-06",1
"533",20184341,"2020-06-10",1
"534",20202507,"2019-10-29",1
"535",20141076,"2019-10-30",1
"536",20157764,"2019-10-17",1
"537",20182488,"2020-01-30",1
"538",20185596,"2019-12-07",1
"539",9916,"2019-12-10",1
"540",41987,"2020-01-22",1
"541",96816,"2019-11-02",1
"542",161496,"2020-03-15",1
"543",10886,"2019-11-08",1
"544",126014,"2020-08-20",1
"545",20157271,"2019-11-28",1
"546",20117104,"2019-11-21",1
"547",20154307,"2019-12-20",1
"548",66243,"2020-03-15",1
"549",67739,"2020-03-03",1
"550",20164180,"2020-02-11",1
"551",20174166,"2020-03-05",1
"552",20182984,"2019-11-23",1
"553",20190670,"2019-10-30",1
"554",20202635,"2020-02-06",1
"555",11638,"2019-11-15",1
"556",62293,"2020-12-22",1
"557",88710,"2019-11-15",1
"558",164853,"2019-11-15",1
"559",164854,"2019-11-15",1
"560",170295,"2019-11-15",1
"561",20139728,"2019-12-30",1
"562",20144177,"2021-10-18",1
"563",20202666,"2019-11-15",1
"564",20144576,"2020-01-31",1
"565",20166512,"2020-04-18",1
"566",75560,"2020-02-20",1
"567",20071628,"2019-12-13",1
"568",20129412,"2021-10-19",1
"569",20202704,"2020-04-22",1
"570",30931,"2019-10-24",1
"571",20171906,"2020-03-26",1
"572",20202721,"2019-12-17",1
"573",77733,"2020-03-15",1
"574",24260,"2020-04-23",1
"575",48080,"2019-12-20",1
"576",20027520,"2020-01-18",1
"577",20103568,"2021-06-04",1
"578",141364,"2019-12-31",1
"579",20156769,"2019-12-05",1
"580",15838,"2020-08-04",1
"581",10005163,"2020-03-15",1
"582",20080204,"2020-09-12",1
"583",20091318,"2019-12-21",1
"584",20202048,"2019-12-25",1
"585",20202853,"2020-02-14",1
"586",25650,"2019-10-24",1
"587",83594,"2019-12-31",1
"588",88612,"2020-01-22",1
"589",20202880,"2020-08-20",1
"590",20184326,"2021-08-03",1
"591",20198783,"2019-11-08",1
"592",20104731,"2019-11-26",1
"593",20142053,"2019-12-02",1
"594",20202918,"2021-12-15",1
"595",48378,"2019-11-07",1
"596",119325,"2019-10-12",1
"597",20009853,"2020-05-08",1
"598",117791,"2019-10-11",1
"599",20026488,"2021-03-09",1
"600",20027642,"2019-11-08",1
"601",20032608,"2019-12-20",1
"602",128525,"2020-03-20",1
"603",158528,"2019-11-12",1
"604",20186793,"2021-05-13",1
"605",20195510,"2019-11-01",1
"606",20202996,"2019-12-13",1
"607",14982,"2020-08-01",1
"608",66495,"2019-11-19",1
"609",10015555,"2019-11-25",1
"610",20020982,"2019-10-11",1
"611",156652,"2020-01-25",1
"612",65807,"2020-06-27",1
"613",20203075,"2020-04-24",1
"614",9134,"2019-11-23",1
"615",23383,"2019-12-17",1
"616",74581,"2019-11-27",1
"617",20007408,"2020-01-28",1
"618",20013442,"2019-11-07",1
"619",20195418,"2019-10-19",1
"620",20197172,"2020-05-14",1
"621",20130560,"2019-12-05",1
"622",7139,"2019-11-22",1
"623",93119,"2019-11-22",1
"624",142742,"2019-12-04",1
"625",161175,"2019-11-07",1
"626",20008382,"2019-11-22",1
"627",20075264,"2020-02-26",1
"628",20136173,"2019-12-03",1
"629",20191700,"2019-10-15",1
"630",20196902,"2020-04-14",1
"631",18265,"2019-11-22",1
"632",53152,"2019-11-14",1
"633",20013295,"2019-11-22",1
"634",20076375,"2019-11-15",1
"635",20083017,"2019-12-31",1
"636",63493,"2020-08-20",1
"637",20047043,"2019-11-20",1
"638",134790,"2019-11-29",1
"639",20017789,"2019-11-15",1
"640",36757,"2019-12-25",1
"641",38357,"2019-10-16",1
"642",121991,"2020-02-15",1
"643",20046210,"2019-10-17",1
"644",20161271,"2019-11-16",1
"645",20191815,"2019-11-29",1
"646",20197673,"2020-02-27",1
"647",22845,"2020-03-17",1
"648",39807,"2019-12-31",1
"649",20041895,"2019-10-17",1
"650",20053986,"2019-11-19",1
"651",20079081,"2020-03-04",1
"652",20084387,"2019-12-31",1
"653",20121259,"2020-08-24",1
"654",20164405,"2019-10-21",1
"655",9996,"2019-10-30",1
"656",20096992,"2019-11-22",1
"657",20184197,"2020-02-05",1
"658",20190194,"2019-10-23",1
"659",20200534,"2020-03-27",1
"660",20201000,"2020-06-12",1
"661",20203347,"2020-07-21",1
"662",20203395,"2020-02-04",1
"663",20203407,"2019-12-06",1
"664",20169167,"2020-01-27",1
"665",28991,"2019-10-15",1
"666",88313,"2019-10-16",1
"667",20193041,"2020-09-01",1
"668",20203436,"2020-02-14",1
"669",36168,"2019-10-18",1
"670",45202,"2019-11-07",1
"671",139386,"2019-12-04",1
