"","50 Years and Over","n_per_day_date","n_per_day_age_date","date_"
"259",TRUE,4962,744,2021-06-26
"260",TRUE,5146,696,2022-03-05
"261",TRUE,4491,673,2021-03-06
"262",TRUE,5122,701,2022-03-12
"263",TRUE,4569,684,2021-03-13
"264",TRUE,5102,692,2022-03-19
"265",TRUE,4622,680,2021-03-20
"266",TRUE,5073,690,2022-03-26
"267",TRUE,4718,712,2021-03-27
"268",TRUE,4717,720,2021-05-01
"269",TRUE,5007,653,2022-05-07
"270",TRUE,4676,701,2021-05-08
"271",TRUE,5051,651,2022-05-14
"272",TRUE,4686,709,2021-05-15
"273",TRUE,5065,643,2022-05-21
"274",TRUE,4700,705,2021-05-22
"275",TRUE,5080,633,2022-05-28
"276",TRUE,4766,724,2021-05-29
"277",TRUE,5636,757,2022-11-05
"278",TRUE,4760,690,2021-11-06
"279",TRUE,5648,755,2022-11-12
"280",TRUE,4760,690,2021-11-13
"281",TRUE,5670,765,2022-11-19
"282",TRUE,4769,697,2021-11-20
"283",TRUE,5636,759,2022-11-26
"284",TRUE,4736,683,2021-11-27
"285",TRUE,5576,762,2022-10-01
"286",TRUE,4897,706,2021-10-02
"287",TRUE,5575,760,2022-10-08
"288",TRUE,4861,694,2021-10-09
"289",TRUE,5583,771,2022-10-15
"290",TRUE,5139,771,2021-10-16
"291",TRUE,5607,756,2022-10-22
"292",TRUE,4839,697,2021-10-23
"293",TRUE,5657,761,2022-10-29
"294",TRUE,4802,686,2021-10-30
"295",TRUE,5418,721,2022-09-03
"296",TRUE,5254,776,2021-09-04
"297",TRUE,5542,740,2022-09-10
"298",TRUE,5297,783,2021-09-11
"299",TRUE,5583,764,2022-09-17
"300",TRUE,5337,792,2021-09-18
"301",TRUE,5533,753,2022-09-24
"302",TRUE,4993,729,2021-09-25
"303",TRUE,5018,664,2022-04-03
"304",TRUE,4700,708,2021-04-04
"305",TRUE,5025,664,2022-04-10
"306",TRUE,4687,707,2021-04-11
"307",TRUE,5012,646,2022-04-17
"308",TRUE,4699,716,2021-04-18
"309",TRUE,5005,652,2022-04-24
"310",TRUE,4682,711,2021-04-25
"311",TRUE,5065,754,2021-08-01
"312",TRUE,5363,690,2022-08-07
"313",TRUE,5100,767,2021-08-08
"314",TRUE,5397,704,2022-08-14
"315",TRUE,5163,771,2021-08-15
"316",TRUE,5380,713,2022-08-21
"317",TRUE,5212,773,2021-08-22
"318",TRUE,5392,711,2022-08-28
"319",TRUE,5269,788,2021-08-29
"320",TRUE,5659,754,2022-12-04
"321",TRUE,4724,677,2021-12-05
"322",TRUE,5646,753,2022-12-11
"323",TRUE,4752,685,2021-12-12
"324",TRUE,5651,733,2022-12-18
"325",TRUE,4748,670,2021-12-19
"326",TRUE,5512,714,2022-12-25
"327",TRUE,4745,659,2021-12-26
"328",TRUE,4240,667,2021-02-07
"329",TRUE,5007,658,2022-02-13
