"","date_","n_per_day_age_date","n_per_day_date","age_var"
"193",2022-12-23,717,5535,"all ages 50+"
"194",2022-12-23,514,5535,"21 and under"
"195",2022-12-23,1003,5535,"40-49"
"196",2021-12-24,1347,4745,"22-29"
"197",2021-12-24,1485,4745,"30-39"
"198",2021-12-24,794,4745,"40-49"
"199",2021-12-24,659,4745,"all ages 50+"
"200",2021-12-24,456,4745,"21 and under"
"201",2020-12-25,1063,3787,"22-29"
"202",2020-12-25,1190,3787,"30-39"
"203",2020-12-25,627,3787,"40-49"
"204",2020-12-25,327,3787,"21 and under"
"205",2020-12-25,578,3787,"all ages 50+"
"206",2019-12-27,658,2263,"30-39"
"207",2019-12-27,591,2263,"22-29"
"208",2019-12-27,404,2263,"40-49"
"209",2019-12-27,425,2263,"all ages 50+"
"210",2019-12-27,184,2263,"21 and under"
"211",2022-12-30,1730,5495,"30-39"
"212",2022-12-30,1542,5495,"22-29"
"213",2022-12-30,722,5495,"all ages 50+"
"214",2022-12-30,993,5495,"40-49"
"215",2022-12-30,506,5495,"21 and under"
"216",2021-12-31,1352,4717,"22-29"
"217",2021-12-31,1466,4717,"30-39"
"218",2021-12-31,449,4717,"21 and under"
"219",2021-12-31,799,4717,"40-49"
"220",2021-12-31,648,4717,"all ages 50+"
"221",2023-02-03,1820,5779,"30-39"
"222",2023-02-03,1582,5779,"22-29"
"223",2023-02-03,546,5779,"21 and under"
"224",2023-02-03,1061,5779,"40-49"
"225",2023-02-03,768,5779,"all ages 50+"
"226",2021-02-05,1168,4240,"22-29"
"227",2021-02-05,1343,4240,"30-39"
"228",2021-02-05,359,4240,"21 and under"
"229",2021-02-05,667,4240,"all ages 50+"
"230",2021-02-05,703,4240,"40-49"
"231",2020-02-07,803,2772,"30-39"
"232",2020-02-07,741,2772,"22-29"
"233",2020-02-07,482,2772,"40-49"
"234",2020-02-07,514,2772,"all ages 50+"
"235",2020-02-07,229,2772,"21 and under"
"236",2023-02-10,1800,5746,"30-39"
"237",2023-02-10,1569,5746,"22-29"
"238",2023-02-10,541,5746,"21 and under"
"239",2023-02-10,767,5746,"all ages 50+"
"240",2023-02-10,1067,5746,"40-49"
"241",2022-02-11,1482,5007,"22-29"
"242",2022-02-11,459,5007,"21 and under"
"243",2022-02-11,1531,5007,"30-39"
"244",2022-02-11,662,5007,"all ages 50+"
"245",2022-02-11,868,5007,"40-49"
"246",2021-02-12,362,4300,"21 and under"
"247",2021-02-12,1361,4300,"30-39"
"248",2021-02-12,1184,4300,"22-29"
"249",2021-02-12,673,4300,"all ages 50+"
"250",2021-02-12,719,4300,"40-49"
"251",2020-02-14,748,2828,"22-29"
"252",2020-02-14,498,2828,"40-49"
"253",2020-02-14,510,2828,"all ages 50+"
"254",2020-02-14,835,2828,"30-39"
"255",2020-02-14,234,2828,"21 and under"
"256",2022-02-18,1493,5063,"22-29"
"257",2022-02-18,473,5063,"21 and under"
"258",2022-02-18,678,5063,"all ages 50+"
"259",2022-02-18,871,5063,"40-49"
"260",2022-02-18,1542,5063,"30-39"
"261",2021-02-19,1396,4367,"30-39"
"262",2021-02-19,1195,4367,"22-29"
"263",2021-02-19,375,4367,"21 and under"
"264",2021-02-19,724,4367,"40-49"
"265",2021-02-19,677,4367,"all ages 50+"
"266",2020-02-21,875,2947,"30-39"
"267",2020-02-21,776,2947,"22-29"
"268",2020-02-21,513,2947,"40-49"
"269",2020-02-21,539,2947,"all ages 50+"
"270",2020-02-21,243,2947,"21 and under"
"271",2022-02-25,1506,5130,"22-29"
"272",2022-02-25,888,5130,"40-49"
"273",2022-02-25,683,5130,"all ages 50+"
"274",2022-02-25,1563,5130,"30-39"
"275",2022-02-25,485,5130,"21 and under"
"276",2021-02-26,1416,4442,"30-39"
"277",2021-02-26,673,4442,"all ages 50+"
"278",2021-02-26,388,4442,"21 and under"
"279",2021-02-26,1223,4442,"22-29"
"280",2021-02-26,740,4442,"40-49"
"281",2020-02-28,902,3032,"30-39"
"282",2020-02-28,796,3032,"22-29"
"283",2020-02-28,520,3032,"40-49"
"284",2020-02-28,551,3032,"all ages 50+"
"285",2020-02-28,261,3032,"21 and under"
"286",2021-01-01,1074,3865,"22-29"
"287",2021-01-01,1212,3865,"30-39"
"288",2021-01-01,647,3865,"40-49"
"289",2021-01-01,337,3865,"21 and under"
"290",2021-01-01,593,3865,"all ages 50+"
"291",2020-01-03,597,2249,"22-29"
"292",2020-01-03,427,2249,"all ages 50+"
"293",2020-01-03,646,2249,"30-39"
"294",2020-01-03,409,2249,"40-49"
"295",2020-01-03,167,2249,"21 and under"
"296",2023-01-06,1749,5576,"30-39"
"297",2023-01-06,1570,5576,"22-29"
"298",2023-01-06,743,5576,"all ages 50+"
"299",2023-01-06,1006,5576,"40-49"
"300",2023-01-06,507,5576,"21 and under"
"301",2022-01-07,1375,4786,"22-29"
"302",2022-01-07,1487,4786,"30-39"
"303",2022-01-07,452,4786,"21 and under"
"304",2022-01-07,804,4786,"40-49"
"305",2022-01-07,664,4786,"all ages 50+"
"306",2021-01-08,1113,3959,"22-29"
"307",2021-01-08,1249,3959,"30-39"
"308",2021-01-08,653,3959,"40-49"
"309",2021-01-08,338,3959,"21 and under"
"310",2021-01-08,605,3959,"all ages 50+"
"311",2020-01-10,690,2391,"30-39"
"312",2020-01-10,643,2391,"22-29"
"313",2020-01-10,419,2391,"40-49"
"314",2020-01-10,448,2391,"all ages 50+"
"315",2020-01-10,191,2391,"21 and under"
"316",2023-01-13,1788,5683,"30-39"
"317",2023-01-13,1601,5683,"22-29"
"318",2023-01-13,1016,5683,"40-49"
"319",2023-01-13,524,5683,"21 and under"
"320",2023-01-13,753,5683,"all ages 50+"
"321",2022-01-14,1395,4826,"22-29"
"322",2022-01-14,1497,4826,"30-39"
"323",2022-01-14,455,4826,"21 and under"
"324",2022-01-14,805,4826,"40-49"
"325",2022-01-14,669,4826,"all ages 50+"
"326",2021-01-15,1141,4056,"22-29"
"327",2021-01-15,1286,4056,"30-39"
"328",2021-01-15,658,4056,"40-49"
"329",2021-01-15,353,4056,"21 and under"
"330",2021-01-15,618,4056,"all ages 50+"
"331",2020-01-17,721,2487,"30-39"
"332",2020-01-17,656,2487,"22-29"
"333",2020-01-17,432,2487,"40-49"
"334",2020-01-17,475,2487,"all ages 50+"
"335",2020-01-17,203,2487,"21 and under"
"336",2023-01-20,1785,5728,"30-39"
"337",2023-01-20,1607,5728,"22-29"
"338",2023-01-20,1040,5728,"40-49"
"339",2023-01-20,533,5728,"21 and under"
"340",2023-01-20,761,5728,"all ages 50+"
"341",2021-01-22,1143,4113,"22-29"
"342",2021-01-22,1309,4113,"30-39"
"343",2021-01-22,676,4113,"40-49"
"344",2021-01-22,348,4113,"21 and under"
"345",2021-01-22,635,4113,"all ages 50+"
"346",2020-01-24,687,2611,"22-29"
"347",2020-01-24,463,2611,"40-49"
"348",2020-01-24,497,2611,"all ages 50+"
"349",2020-01-24,753,2611,"30-39"
"350",2020-01-24,207,2611,"21 and under"
"351",2023-01-27,1806,5771,"30-39"
"352",2023-01-27,1593,5771,"22-29"
"353",2023-01-27,1056,5771,"40-49"
"354",2023-01-27,764,5771,"all ages 50+"
"355",2023-01-27,550,5771,"21 and under"
"356",2021-01-29,1158,4190,"22-29"
"357",2021-01-29,1328,4190,"30-39"
"358",2021-01-29,699,4190,"40-49"
"359",2021-01-29,354,4190,"21 and under"
"360",2021-01-29,651,4190,"all ages 50+"
"361",2020-01-31,793,2709,"30-39"
"362",2020-01-31,706,2709,"22-29"
"363",2020-01-31,475,2709,"40-49"
"364",2020-01-31,509,2709,"all ages 50+"
"365",2020-01-31,219,2709,"21 and under"
"366",2022-07-01,1530,5245,"22-29"
"367",2022-07-01,1634,5245,"30-39"
"368",2022-07-01,642,5245,"all ages 50+"
"369",2022-07-01,939,5245,"40-49"
"370",2022-07-01,499,5245,"21 and under"
"371",2021-07-02,1561,4936,"30-39"
"372",2021-07-02,857,4936,"40-49"
"373",2021-07-02,410,4936,"21 and under"
"374",2021-07-02,740,4936,"all ages 50+"
"375",2021-07-02,1356,4936,"22-29"
"376",2020-07-03,747,2392,"30-39"
"377",2020-07-03,321,2392,"all ages 50+"
"378",2020-07-03,405,2392,"40-49"
"379",2020-07-03,694,2392,"22-29"
"380",2020-07-03,225,2392,"21 and under"
"381",2022-07-08,1537,5292,"22-29"
"382",2022-07-08,1635,5292,"30-39"
"383",2022-07-08,649,5292,"all ages 50+"
"384",2022-07-08,971,5292,"40-49"
"385",2022-07-08,498,5292,"21 and under"
"386",2021-07-09,1595,4989,"30-39"
"387",2021-07-09,402,4989,"21 and under"
"388",2021-07-09,860,4989,"40-49"
"389",2021-07-09,750,4989,"all ages 50+"
"390",2021-07-09,1372,4989,"22-29"
